kartoška: kartoška
dilʲlʲo: dilʲlʲo
žu: žu
himon: himon
ezezi: eze zi
mo: mo
hobode: hobode
hobode: hobode
mina: mina
dilʲ: dilʲ
homone: homone
hos: hos
homonel: homone l
do: do
goli: goli
ise: ise
do: do
homone: homone
ʎɨn: ʎɨn
hed: hed
ono: ono
gollu: gollu
hed: hed
žu: žu
žu: žu
dubul: dubul
soyro: soyro
goli: goli
ʎun: ʎun
užá: užá
hed: hed
soyro: soyro
ilʲó: ilʲó
aʎ: aʎ
ʎilʲo: ʎilʲo
goli: goli
ideul: ide ul
idu: idu
soyro: soyro
idu: idu
ise: ise
ono: ono
de: de
qarpuz: qarpuz
mo: mo
hobože: hobože
žohol: žohol
iłe: iłe
saxłi: saxłi
ise: ise
kad: kad
žoqužaɣul: žoquža ɣul
de: de
uže: uže
bexanɨn: bexan ɨn
idu: idu
iłeqol: iłeqol
zzu: zzu
uže: uže
ise: ise
hada: hada
idu: idu
ɣine: ɣine
ło: ło
heⁿše: heⁿše
obu: obu
isuqol: isuqol
soyro: soyro
ʎɨn: ʎɨn
zamana: zamana
soyro: soyro
iłe: iłe
žu: žu
hos: hos
kad: kad
hobo: hobo
ʎun: ʎun
ise: ise
ise: ise
žu: žu
uže: uže
homonduč: homondu č
diyo: diyo
žu: žu
dubul: dubul
hosunu: hosunu
diyo: diyo
goli: goli
žu: žu
ɣine: ɣine
qarpuz: qarpuz
diyo: diyo
soyro: soyro
žide: žide
hibo: hibo
me: me
ilʲlʲo: ilʲlʲo
ondu: ondu
lože: lože
hobondu: hobondu
ʎun: ʎun
kandaza: kandaza
baydan: baydan
žu: žu
mus: mus
gił: gił
eⁿš: eⁿš
eⁿš: eⁿš
iso: iso
xuy: xuy
ɣiná: ɣiná
podnos: podnos
gił: gił
gił: gił
idu: idu
žoho: žoho
ħažiyawla: ħažiyaw la
ɣonołul: ɣonołul
žoho: žoho
aqla: aq la
oge: oge
ɣonur: ɣonur
goli: goli
isulo: isulo
mašinaɣa: mašina ɣa
oge: oge
de: de
aqqa: aq qa
solo: solo
hadal: hadal
aumru: aumru
hadal: hadal
ílʲo: ílʲo
ʎɨn: ʎɨn
dandil: dandil
haca: haca
iłelo: iłelo
dandil: dandil
huⁿho: huⁿho
izzulo: izzulo
kanaw: kanaw
goli: goli
aqma: aq ma
goli: goli
ustur: ustur
kad: kad
sabałɨn: sabałɨn
mo: mo
sabałɨn: sabałɨn
hobože: hobože
idu: idu
žulik: žulik
iłe: iłe
heⁿše: heⁿše
žu: žu
ise: ise
xanɨs: xan ɨs
kad: kad
xabar: xabar
aq: aq
izze: izze
hed: hed
iłe: iłe
ɣiná: ɣiná
hadaquł: hadaquł
hada: hada
idu: idu
kandazas: kandazas
obu: obu
wallah: wallah
do: do
idu: idu
užáč: užá č
goli: goli
ʎɨn: ʎɨn
hobože: hobože
idu: idu
idu: idu
uže: uže
inu: inu
kad: kad
hobołe: hobołe
iłes: iłes
xol: xol
ɣoboho: ɣobo ho
me: me
idu: idu
himon: himon
łul: łul
mižul: mižul
dudu: dudu
ʎun: ʎun
dow: dow
hunar: hunar
dubo: dubo
goli: goli
me: me
azar: azar
himon: himon
idu: idu
ʎɨn: ʎɨn
izzu: izzu
isuqol: isuqol
mo: mo
ʎɨn: ʎɨn
dubqo: dub qo
ʎib: ʎib
goli: goli
doccu: doccu
baha: baha
goli: goli
hadaquł: hadaquł
doccu: doccu
žu: žu
geq: geq
ʎɨn: ʎɨn
doco: doco
iłe: iłe
doco: doco
dubul: dubul
doco: doco
uže: uže
isuɣol: isuɣol
ide: ide
heⁿhe: heⁿhe
hiblʲa: hiblʲa
ʎɨn: ʎɨn
me: me
idu: idu
himon: himon
ise: ise
hosun: hosun
dogu: dogu
ħono: ħono
hunar: hunar
dubul: dubul
ʎɨn: ʎɨn
łuʎa: łu ʎa
hos: hos
hadam: hadam
wallah: wallah
diyo: diyo
zebu: zebu
goli: goli
edub: edub
burku: burku
edub: edub
de: de
heⁿše: heⁿše
hos: hos
himon: himon
ise: ise
himon: himon
os: os
goli: goli
homonu: homonu
iso: iso
eⁿs: eⁿs
hadam: hadam
goli: goli
ʎun: ʎun
dubul: dubul
himon: himon
dilʲlʲo: dilʲlʲo
hibo: hibo
himon: himon
dow: dow
himon: himon
łun: łun
heⁿše: heⁿše
ise: ise
dudun: dudun
isul: isul
soyro: soyro
nan: nan
ise: ise
hoččun: hoččun
ise: ise
hoččun: hoččun
ʎɨn: ʎɨn
iʎbi: iʎ bi
himon: himon
atɣul: atɣul
ħalla: ħalla
židuł: židuł
himon: himon
diyo: diyo
ħono: ħono
azar: azar
armic: armic
goli: goli
hobołe: hobołe
hibalanɨl: hibalan ɨl
žibžib: žibžib
idu: idu
golluč: golluč
hadam: hadam
isuqol: isuqol
idu: idu
himon: himon
dubʎeru: dubʎeru
hobołeʎeru: hobołe ʎeru
hosunun: hosunun
žido: žido
bešon: bešon
gollu: gollu
aʎ: aʎ
dilʲ: dilʲ
bešon: bešon
ɣuruš: ɣuruš
hos: hos
ħono: ħono
łɨno: łɨno
eⁿł: eⁿł
oʎ: oʎ
baʎ: baʎ
oⁿče: oⁿče
quno: quno
baʎ: baʎ
eⁿł: eⁿł
quno: quno
oʎ: oʎ
łɨno: łɨno
łɨno: łɨno
łɨno: łɨno
quno: quno
łɨno: łɨno
oʎ: oʎ
oⁿče: oⁿče
eⁿł: eⁿł
baʎ: baʎ
ħonoiʎʎu: ħono iʎʎu
quno: quno
ħono: ħono
quno: quno
łɨnoiʎʎu: łɨno iʎʎu
azarun: azarun
židu: židu
hos: hos
atɣulso: atɣul so
co: co
hos: hos
quno: quno
do: do
do: do
hed: hed
ʎɨn: ʎɨn
ɣiná: ɣiná
hobože: hobože
čay: čay
os: os
čay: čay
gobi: gobi
de: de
mo: mo
dilʲ: dilʲ
mo: mo
iłe: iłe
idu: idu
hed: hed
ílʲo: ílʲo
goli: goli
do: do
goli: goli
do: do
goli: goli
ʎɨn: ʎɨn
ilʲó: ilʲó
aʎas: aʎas
ɣˤbʷbo: ɣˤbʷ bo
hadam: hadam
ɣˤe: ɣˤe
yhēč: y hēč
ise: ise
obu: obu
ilʲul: ilʲul
øhēč: ø hēč
ʎɨn: ʎɨn
de: de
ʎɨn: ʎɨn
hos: hos
eⁿš: eⁿš
ʎɨn: ʎɨn
hobołe: hobołe
hobołe: hobołe
hos: hos
ono: ono
izzu: izzu
ise: ise
izzo: izzo
xabar: xabar
išu: išu
bataxu: bataxu
židu: židu
židuł: židuł
kumak: kumak
armis: armis
ise: ise
diyo: diyo
murad: murad
goli: goli
mo: mo
de: de
kaɣat: kaɣat
do: do
eⁿdul: eⁿdul
ilʲe: ilʲe
mo: mo
goli: goli
ʎɨn: ʎɨn
me: me
dogu: dogu
žužaħiłil: žužaħiłil
do: do
goli: goli
ʎɨn: ʎɨn
ise: ise
obu: obu
žu: žu
užá: užá
burku: burku
žilʲlʲoɣul: žilʲlʲoɣul
ɣode: ɣode
diyo: diyo
goli: goli
do: do
hˤamˤaˤe: hˤamˤaˤe
žoholi: žoholi
ise: ise
žu: žu
zihe: zihe
us: us
goli: goli
žoholi: žoholi
žu: žu
goli: goli
žu: žu
ʎɨn: ʎɨn
goli: goli
žu: žu
ise: ise
os: os
ise: ise
soyro: soyro
os: os
išu: išu
ʎar: ʎar
ilʲlʲo: ilʲlʲo
azar: azar
himon: himon
iłe: iłe
ilʲó: ilʲó
abaxar: abaxar
ʎib: ʎib
hed: hed
žide: žide
mižó: mižó
kandaba: kandaba
ilʲo: ilʲo
kandaba: kandaba
mižó: mižó
uže: uže
ɣiná: ɣiná
idu: idu
mo: mo
ono: ono
de: de
indu: indu
ʎib: ʎib
gobi: gobi
goli: goli
ilʲo: ilʲo
goli: goli
hobože: hobože
hed: hed
ħono: ħono
ɣodo: ɣodo
gobi: gobi
ʎɨn: ʎɨn
žu: žu
ʎusbič: ʎus bič
goli: goli
ilʲó: ilʲó
kandaba: kandaba
ono: ono
žilʲlʲo: žilʲlʲo
ɣinaza: ɣinaza
idu: idu
baydan: baydan
ʎibaha: ʎibaha
užal: užal
liʎ: liʎ
užal: užal
liʎ: liʎ
užal: užal
liʎ: liʎ
užal: užal
liʎ: liʎ
huniža: huniža
kereyun: kere yun
huniža: huniža
kerebič: kere bič
žu: žu
žu: žu
žu: žu
užá: užá
heⁿše: heⁿše
užá: užá
heⁿše: heⁿše
užá: užá
heⁿše: heⁿše
idu: idu
kandaza: kandaza
ʎɨn: ʎɨn
hos: hos
dilʲ: dilʲ
kad: kad
goli: goli
iłe: iłe
žu: žu
idu: idu
iłe: iłe
kad: kad
žu: žu
mo: mo
gobi: gobi
do: do
goli: goli
gollu: gollu
hadam: hadam
goli: goli
gobiso: gobiso
hadam: hadam
goli: goli
gollu: gollu
hos: hos
goli: goli
gollu: gollu
ílʲo: ílʲo
gollu: gollu
uškul: uškul
goli: goli
gollu: gollu
kad: kad
hoddow: hod dow
nartaw: nartaw
idu: idu
eⁿšin: eⁿš in
yaraɣi: yaraɣi
gobič: gobič
židu: židu
gobič: gobič
iton: iton
bazar: bazar
ise: ise
žu: žu
goli: goli
žoholi: žoholi
iłel: iłel
žu: žu
uže: uže
iso: iso
goli: goli
heresi: heresi
iłeqo: iłeqo
izzu: izzu
ilʲlʲo: ilʲlʲo
ʎɨn: ʎɨn
žide: žide
dilʲ: dilʲ
ɣode: ɣode
xʷasar: xʷasar
kanduqol: kanduqol
me: me
himon: himon
goli: goli
de: de
dubul: dubul
hibo: hibo
himon: himon
dubul: dubul
ʎun: ʎun
ɣode: ɣode
ílʲo: ílʲo
ʎɨn: ʎɨn
izze: izze
iduidu: idu idu
reła: reła
žu: žu
ɣine: ɣine
dilʲ: dilʲ
himon: himon
žu: žu
diyo: diyo
de: de
iłes: iłes
do: do
ɣuɣu: ɣuɣu
do: do
ɣuɣu: ɣuɣu
žu: žu
ɣuɣu: ɣuɣu
žu: žu
ɣuɣu: ɣuɣu
hed: hed
ʎib: ʎib
čačanza: čačanza
žilʲlʲo: žilʲlʲo
hed: hed
do: do
ono: ono
ono: ono
žu: žu
ʎultan: ʎultan
do: do
oⁿče: oⁿče
łunoiʎʎu: łuno iʎʎu
aʎał: aʎał
hed: hed
žu: žu
hed: hed
goli: goli
mižuli: mižuli
himon: himon
ʎɨn: ʎɨn
aʎ: aʎ
ʎɨn: ʎɨn
ilʲe: ilʲe
izzu: izzu
izzu: izzu
do: do
hos: hos
žequł: žequł
do: do
do: do
diyo: diyo
obu: obu
užaqal: užaqal
de: de
dubqol: dubqol
ʎɨn: ʎɨn
himon: himon
žequłso: žequł so
žoho: žoho
ʎɨn: ʎɨn
idu: idu
isuɣol: isuɣol
hobołe: hobołe
žu: žu
urɣiššeč: urɣiš šeč
ʎɨn: ʎɨn
hed: hed
do: do
goli: goli
mo: mo
goli: goli
hobołe: hobołe
mo: mo
goli: goli
me: me
himon: himon
goli: goli
mo: mo
goli: goli
do: do
hos: hos
qarpuz: qarpuz
žu: žu
atɣul: atɣul
ílʲo: ílʲo
žu: žu
isul: isul
ło: ło
mížo: mížo
ono: ono
dilʲlʲo: dilʲlʲo
me: me
de: de
žu: žu
qʷainda: qʷa in da
do: do
obu: obu
ɣode: ɣode
do: do
ɣode: ɣode
mo: mo
hobože: hobože
obu: obu
ɣode: ɣode
hos: hos
iso: iso
ħono: ħono
kad: kad
atɣuli: atɣuli
isul: isul
hed: hed
ise: ise
dubo: dubo
mo: mo
goli: goli
ʎɨn: ʎɨn
žequł: žequł
os: os
ise: ise
mašina: mašina
hibo: hibo
diyo: diyo
mo: mo
ono: ono
ono: ono
he: he
dilʲ: dilʲ
obu: obu
do: do
gobi: gobi
ʎɨn: ʎɨn
hobołe: hobołe
iłeiłelo: iłeiłelo
ɣinaqal: ɣinaqal
ʎɨn: ʎɨn
me: me
dilʲ: dilʲ
qarpuz: qarpuz
miže: miže
dilʲ: dilʲ
heⁿše: heⁿše
mo: mo
me: me
mo: mo
me: me
ɣon: ɣon
mo: mo
me: me
ʎiš: ʎiš
aⁿc: aⁿc
mo: mo
dubul: dubul
dubul: dubul
žu: žu
himon: himon
dubul: dubul
do: do
dubul: dubul
do: do
dubul: dubul
do: do
dubul: dubul
do: do
dubul: dubul
me: me
me: me
dilʲ: dilʲ
isul: isul
heⁿše: heⁿše
mo: mo
ʎɨn: ʎɨn
hobo: hobo
ílʲo: ílʲo
hobo: hobo
hobo: hobo
baydan: baydan
xanše: xan še
hobo: hobo
de: de
hobo: hobo
me: me
hobo: hobo
de: de
ɣine: ɣine
me: me
ine: ine
hibo: hibo
do: do
heresi: heresi
bataxu: bataxu
eⁿxeɣol: eⁿxeɣol
goli: goli
dilʲ: dilʲ
gobi: gobi
huⁿne: huⁿne
dubul: dubul
dublo: dublo
gollu: gollu
mižul: mižul
saxłi: saxłi
mížo: mížo
diyo: diyo
ise: ise
golło: golło
do: do
iso: iso
mašina: mašina
xexiłin: xexiłin
golło: golło
isuqol: isuqol
ʎɨn: ʎɨn
iseisulo: iseisulo
ʎɨn: ʎɨn
wasiyat: wasiyat
aq: aq
užal: užal
ʎɨn: ʎɨn
diqol: diqol
me: me
hobołe: hobołe
iłeiłelo: iłeiłelo
ɣinaqal: ɣinaqal
ʎɨn: ʎɨn
hobo: hobo
mo: mo
hobo: hobo
mížo: mížo
mo: mo
mo: mo
goli: goli
goli: goli
wole: wole
boboluda: bobolu da
goli: goli
wole: wole
bobolu: bobolu
goli: goli
wole: wole
ʎun: ʎun
ɣˤʷe: ɣˤʷe
iłe: iłe
dubo: dubo
dilʲ: dilʲ
huⁿne: huⁿne
gobi: gobi
do: do
obu: obu
hobože: hobože
hibočibok: hibočibo k
homonu: homonu
xol: xol
ʎɨn: ʎɨn
kadso: kad so
uže: uže
mogon: mo gon
žu: žu
iłe: iłe
ilʲó: ilʲó
abaxar: abaxar
ħono: ħono
hˤamˤaɣˤe: hˤamˤaɣˤe
kutaxe: kuta xe
onoz: ono z
šayx: šayx
židu: židu
himonaba: himonaba
ise: ise
hibo: hibo
do: do
łuno: łuno
kad: kad
golluč: golluč
heⁿšebo: heⁿše bo
dow: dow
gɨd: gɨd
mižo: mižo
išu: išu
dow: dow
ʎɨn: ʎɨn
huniža: huniža
heⁿše: heⁿše
ise: ise
iłes: iłes
hos: hos
hos: hos
ze: ze
homonu: homonu
gamuš: gamuš
hos: hos
gamuš: gamuš
ħono: ħono
de: de
istakan: istakan
me: me
ħono: ħono
zor: zor
huniža: huniža
ono: ono
goli: goli
hed: hed
diyo: diyo
kad: kad
žido: žido
aʎ: aʎ
goli: goli
quno: quno
quno: quno
idu: idu
idu: idu
hos: hos
hobože: hobože
idu: idu
gˤolʲlʲuč: gˤolʲlʲuč
docon: docon
docon: docon
iłes: iłes
tarpa: tarpa
iłes: iłes
tarpa: tarpa
kad: kad
kad: kad
me: me
hed: hed
me: me
hobože: hobože
iso: iso
goli: goli
bertin: bertin
izzo: izzo
goli: goli
gobi: gobi
ide: ide
me: me
do: do
ʎɨn: ʎɨn
geq: geq
ʎun: ʎun
iłe: iłe
idu: idu
uže: uže
goli: goli
isulo: isulo
isulo: isulo
ɣiná: ɣiná
de: de
os: os
de: de
os: os
dubul: dubul
de: de
diyo: diyo
tarpa: tarpa
dublo: dublo
goli: goli
diyo: diyo
tarpa: tarpa
goli: goli
xabar: xabar
xabar: xabar
de: de
iłel: iłel
os: os
de: de
os: os
de: de
os: os
geq: geq
dilʲ: dilʲ
ɨs: ɨs
dilʲ: dilʲ
žu: žu
goli: goli
zor: zor
goli: goli
goli: goli
goli: goli
išucew: išu cew
goli: goli
idu: idu
kad: kad
ilʲe: ilʲe
azar: azar
dolarcew: dolar cew
os: os
qunocew: quno cew
ilʲoɣul: ilʲo ɣul
dubo: dubo
goli: goli
diyo: diyo
ɨs: ɨs
dubo: dubo
goli: goli
diyo: diyo
ɨs: ɨs
dublo: dublo
goli: goli
dilʲlʲo: dilʲlʲo
zihe: zihe
kad: kad
bušnebo: bušne bo
užá: užá
łeyi: łe yi
dilʲ: dilʲ
heⁿše: heⁿše
iho: iho
idu: idu
kad: kad
išu: išu
hadam: hadam
goli: goli
hadam: hadam
goli: goli
obu: obu
kaɣat: kaɣat
idu: idu
uže: uže
idu: idu
žu: žu
goli: goli
žu: žu
goli: goli
iso: iso
obu: obu
toxtur: toxtur
ilʲlʲo: ilʲlʲo
idu: idu
xabar: xabar
žuka: žuka
goli: goli
kad: kad
goli: goli
žequł: žequł
hobołe: hobołe
iso: iso
ʎar: ʎar
ono: ono
do: do
ihoho: iho ho
diyo: diyo
gobi: gobi
isuqo: isuqo
hos: hos
goli: goli
hobože: hobože
do: do
ʎultan: ʎultan
uže: uže
hadam: hadam
atɣul: atɣul
idu: idu
ise: ise
užá: užá
idu: idu
užazal: užazal
izzu: izzu
žu: žu
huⁿza: huⁿ za
wa: wa
ilʲul: ilʲul
ono: ono
izze: izze
iłes: iłes
xabar: xabar
užal: užal
žu: žu
do: do
diqo: diqo
zihe: zihe
užá: užá
zihe: zihe
užaqa: užaqa
zihe: zihe
ɣinaqa: ɣinaqa
qaba: qaba
isuqo: isuqo
hadam: hadam
diqo: diqo
bataxu: bataxu
hada: hada
dac: dac
iʎdow: iʎ dow
ise: ise
išu: išu
goli: goli
goli: goli
šobolu: šobolu
šobolu: šobolu
šobolu: šobolu
šobolu: šobolu
žido: žido
žido: žido
ilʲó: ilʲó
hadal: hadal
žilʲlʲo: žilʲlʲo
aq: aq
ya: ya
kad: kad
ya: ya
uže: uže
ya: ya
goli: goli
ya: ya
huⁿn: huⁿn
goli: goli
ya: ya
ya: ya
žequł: žequł
bataxu: bataxu
užá: užá
yagi: yagi
yagi: yagi
žequł: žequł
ya: ya
ya: ya
aq: aq
yagi: yagi
yagi: yagi
ɣuɣun: ɣuɣun
golluč: golluč
hada: hada
užá: užá
de: de
užá: užá
ono: ono
ono: ono
ono: ono
žu: žu
kad: kad
eⁿso: eⁿso
eⁿso: eⁿso
huniža: huniža
asaxu: asaxu
huniža: huniža
do: do
dilʲ: dilʲ
do: do
dilʲ: dilʲ
kad: kad
uže: uže
idu: idu
obu: obu
dublo: dublo
eⁿdu: eⁿdu
dublo: dublo
pikru: pikru
gobi: gobi
ise: ise
užas: užas
žu: žu
hobołe: hobołe
ʎɨn: ʎɨn
žoho: žoho
idu: idu
iłelo: iłelo
qaʎu: qaʎu
ze: ze
ilʲó: ilʲó
gollu: gollu
ɣine: ɣine
hed: hed
ʎɨn: ʎɨn
kode: kode
istakan: istakan
hed: hed
ise: ise
žu: žu
bada: bada
iłe: iłe
amasi: amasi
ise: ise
goli: goli
hed: hed
ise: ise
din: din
hos: hos
eⁿš: eⁿš
eⁿš: eⁿš
užá: užá
žen: žen
iʎbič: iʎ bič
goli: goli
ilʲlʲo: ilʲlʲo
žu: žu
ʎɨn: ʎɨn
hobože: hobože
isul: isul
dubul: dubul
saxłi: saxłi
iłel: iłel
himon: himon
hicce: hic ce
ise: ise
yaraɣi: yaraɣi
isul: isul
soyro: soyro
iseiso: iseiso
zihebo: zihe bo
žu: žu
žu: žu
kumak: kumak
idu: idu
himon: himon
užal: užal
židul: židul
ilʲe: ilʲe
dubul: dubul
gulše: gul še
ʎɨn: ʎɨn
isuqol: isuqol
wo: wo
hos: hos
eⁿš: eⁿš
dilʲ: dilʲ
ʎɨn: ʎɨn
iłe: iłe
diyo: diyo
me: me
ʎɨn: ʎɨn
iłe: iłe
hibo: hibo
ʎɨn: ʎɨn
aⁿc: aⁿc
ʎɨn: ʎɨn
ise: ise
žibžib: žibžib
ise: ise
žilʲlʲo: žilʲlʲo
nartawba: nartaw ba
hed: hed
žu: žu
hobože: hobože
ise: ise
łiłukda: łiłukda
iłelo: iłelo
isulo: isulo
žu: žu
hiblʲa: hiblʲa
iłe: iłe
isuqo: isuqo
užaqa: užaqa
ħallaqe: ħallaqe
golluč: golluč
os: os
ɣine: ɣine
ɣiná: ɣiná
ɣiná: ɣiná
eⁿxuł: eⁿxuł
ilʲe: ilʲe
heⁿše: heⁿše
do: do
urɣišše: urɣiš še
xabar: xabar
hobože: hobože
ílʲo: ílʲo
goli: goli
užá: užá
bataxu: bataxu
kartoška: kartoška
kartoška: kartoška
ɣon: ɣon
huniža: huniža
ɣon: ɣon
haca: haca
ise: ise
pilʲu: pilʲu
užá: užá
burku: burku
heⁿše: heⁿše
haca: haca
hed: hed
ɣon: ɣon
ciyoⁿn: ciyoⁿ n
liʎ: liʎ
ʎɨn: ʎɨn
ɣinaza: ɣinaza
židuli: židuli
iłes: iłes
iłes: iłes
idu: idu
obu: obu
iłes: iłes
užá: užá
kaɣat: kaɣat
kaɣat: kaɣat
ɣamasi: ɣamasi
ɣamasi: ɣamasi
kaɣat: kaɣat
homonu: homonu
himon: himon
isul: isul
žulikza: žulik za
gollu: gollu
surat: surat
kartoška: kartoška
kartoška: kartoška
ʎibaha: ʎibaha
os: os
os: os
diqo: diqo
os: os
kartoška: kartoška
ise: ise
uže: uže
ise: ise
heⁿše: heⁿše
xabar: xabar
uže: uže
heⁿše: heⁿše
daru: daru
liʎ: liʎ
wacahawqaɣužaz: wacahaw qa ɣužaz
wacahawqaɣužaz: wacahaw qa ɣužaz
ɣamasi: ɣamasi
ɣinaqa: ɣinaqa
os: os
ise: ise
gaziyat: gaziyat
ise: ise
užaqa: užaqa
hadamqa: hadam qa
ise: ise
ise: ise
hˤamˤaɣˤeqo: hˤamˤaɣˤeqo
gaziyat: gaziyat
hada: hada
eⁿču: eⁿču
ise: ise
os: os
heⁿše: heⁿše
heⁿše: heⁿše
kad: kad
eⁿdu: eⁿdu
goli: goli
uže: uže
kad: kad
užá: užá
ɣuraz: ɣura z
užá: užá
ɣur: ɣur
uže: uže
eⁿdu: eⁿdu
goli: goli
ɣˤʷe: ɣˤʷe
ɣˤbe: ɣˤbe
uže: uže
eⁿdu: eⁿdu
ise: ise
ɣine: ɣine
isuho: isuho
ɣine: ɣine
zebu: zebu
ílʲo: ílʲo
ílʲo: ílʲo
ɣon: ɣon
balaha: bala ha
goli: goli
goli: goli
gollu: gollu
goli: goli
goli: goli
gollu: gollu
goli: goli
dilʲ: dilʲ
dilʲ: dilʲ
goli: goli
do: do
uškul: uškul
do: do
goli: goli
heⁿše: heⁿše
heⁿše: heⁿše
heⁿše: heⁿše
os: os
uže: uže
hibo: hibo
golluč: golluč
himon: himon
łu: łu
himon: himon
himon: himon
iton: iton
bazar: bazar
dilʲ: dilʲ
huⁿne: huⁿne
do: do
eⁿdu: eⁿdu
goli: goli
diyo: diyo
ʎɨn: ʎɨn
ɣˤe: ɣˤe
ise: ise
heⁿše: heⁿše
obu: obu
užá: užá
ɣolo: ɣolo
goli: goli
ɣode: ɣode
ílʲo: ílʲo
ʎɨn: ʎɨn
goli: goli
kumak: kumak
diqo: diqo
heⁿše: heⁿše
isuqo: isuqo
žilʲlʲoɣul: žilʲlʲoɣul
zorlo: zor lo
mížo: mížo
zorɨs: zor ɨs
ħal: ħal
mížo: mížo
diqo: diqo
mížo: mížo
ʎun: ʎun
žequł: žequł
nišoho: nišoho
reła: reła
aq: aq
dilʲ: dilʲ
ʎɨn: ʎɨn
iłe: iłe
goli: goli
de: de
hunar: hunar
žu: žu
ílʲo: ílʲo
ɣode: ɣode
obu: obu
madaha: madaha
heresi: heresi
kad: kad
dilʲ: dilʲ
moʎał: moʎa ł
do: do
diyo: diyo
aniš: aniš
goli: goli
užas: užas
išu: išu
mˤgɣˤul: mˤg ɣˤul
užal: užal
idu: idu
dilʲ: dilʲ
iso: iso
dilʲ: dilʲ
iso: iso
dilʲ: dilʲ
ise: ise
ʎɨn: ʎɨn
dilʲ: dilʲ
ise: ise
ʎɨn: ʎɨn
dilʲ: dilʲ
ise: ise
ʎɨn: ʎɨn
dilʲ: dilʲ
ise: ise
ʎɨn: ʎɨn
hada: hada
ɣiná: ɣiná
pal: pal
do: do
žu: žu
ilʲlʲo: ilʲlʲo
de: de
ilʲoho: ilʲo ho
užá: užá
ho: ho
ise: ise
xabar: xabar
ise: ise
ɣine: ɣine
de: de
aʎas: aʎas
begawul: begawul
